Population	IID
Brahui	HGDP00001
Brahui	HGDP00003
Brahui	HGDP00005
Brahui	HGDP00007
Brahui	HGDP00009
Brahui	HGDP00011
Brahui	HGDP00013
Brahui	HGDP00015
Brahui	HGDP00017
Brahui	HGDP00019
Brahui	HGDP00021
Brahui	HGDP00023
Brahui	HGDP00025
Brahui	HGDP00027
Brahui	HGDP00029
Brahui	HGDP00031
Brahui	HGDP00033
Brahui	HGDP00035
Brahui	HGDP00037
Brahui	HGDP00039
Brahui	HGDP00041
Brahui	HGDP00043
Brahui	HGDP00045
Brahui	HGDP00047
Brahui	HGDP00049
Balochi	HGDP00052
Balochi	HGDP00054
Balochi	HGDP00056
Balochi	HGDP00057
Balochi	HGDP00058
Balochi	HGDP00060
Balochi	HGDP00062
Balochi	HGDP00064
Balochi	HGDP00066
Balochi	HGDP00068
Balochi	HGDP00070
Balochi	HGDP00072
Balochi	HGDP00074
Balochi	HGDP00076
Balochi	HGDP00078
Balochi	HGDP00080
Balochi	HGDP00082
Balochi	HGDP00086
Balochi	HGDP00088
Balochi	HGDP00090
Balochi	HGDP00092
Balochi	HGDP00094
Balochi	HGDP00096
Balochi	HGDP00098
Hazara	HGDP00099
Hazara	HGDP00100
Hazara	HGDP00102
Hazara	HGDP00103
Hazara	HGDP00104
Hazara	HGDP00105
Hazara	HGDP00106
Hazara	HGDP00108
Hazara	HGDP00109
Hazara	HGDP00110
Hazara	HGDP00112
Hazara	HGDP00115
Hazara	HGDP00116
Hazara	HGDP00118
Hazara	HGDP00119
Hazara	HGDP00120
Hazara	HGDP00121
Hazara	HGDP00122
Hazara	HGDP00124
Hazara	HGDP00125
Hazara	HGDP00127
Hazara	HGDP00129
Makrani	HGDP00130
Makrani	HGDP00131
Makrani	HGDP00133
Makrani	HGDP00134
Makrani	HGDP00135
Makrani	HGDP00136
Makrani	HGDP00137
Makrani	HGDP00139
Makrani	HGDP00140
Makrani	HGDP00141
Makrani	HGDP00143
Makrani	HGDP00144
Makrani	HGDP00145
Makrani	HGDP00146
Makrani	HGDP00148
Makrani	HGDP00149
Makrani	HGDP00150
Makrani	HGDP00151
Makrani	HGDP00153
Makrani	HGDP00154
Makrani	HGDP00155
Makrani	HGDP00157
Makrani	HGDP00158
Makrani	HGDP00160
Makrani	HGDP00161
Sindhi	HGDP00163
Sindhi	HGDP00165
Sindhi	HGDP00167
Sindhi	HGDP00169
Sindhi	HGDP00171
Sindhi	HGDP00173
Sindhi	HGDP00175
Sindhi	HGDP00177
Sindhi	HGDP00179
Sindhi	HGDP00181
Sindhi	HGDP00183
Sindhi	HGDP00185
Sindhi	HGDP00187
Sindhi	HGDP00189
Sindhi	HGDP00191
Sindhi	HGDP00192
Sindhi	HGDP00195
Sindhi	HGDP00197
Sindhi	HGDP00199
Sindhi	HGDP00201
Sindhi	HGDP00205
Sindhi	HGDP00206
Sindhi	HGDP00208
Sindhi	HGDP00210
Pathan	HGDP00213
Pathan	HGDP00214
Pathan	HGDP00216
Pathan	HGDP00218
Pathan	HGDP00222
Pathan	HGDP00224
Pathan	HGDP00226
Pathan	HGDP00228
Pathan	HGDP00230
Pathan	HGDP00232
Pathan	HGDP00234
Pathan	HGDP00237
Pathan	HGDP00239
Pathan	HGDP00241
Pathan	HGDP00243
Pathan	HGDP00244
Pathan	HGDP00251
Pathan	HGDP00254
Pathan	HGDP00258
Pathan	HGDP00259
Pathan	HGDP00262
Pathan	HGDP00264
Kalash	HGDP00267
Kalash	HGDP00274
Kalash	HGDP00277
Kalash	HGDP00279
Kalash	HGDP00281
Kalash	HGDP00285
Kalash	HGDP00286
Kalash	HGDP00288
Kalash	HGDP00290
Kalash	HGDP00298
Kalash	HGDP00302
Kalash	HGDP00304
Kalash	HGDP00307
Kalash	HGDP00309
Kalash	HGDP00311
Kalash	HGDP00313
Kalash	HGDP00315
Kalash	HGDP00319
Kalash	HGDP00323
Kalash	HGDP00326
Kalash	HGDP00328
Kalash	HGDP00330
Kalash	HGDP00333
Burusho	HGDP00336
Burusho	HGDP00338
Burusho	HGDP00341
Burusho	HGDP00346
Burusho	HGDP00351
Burusho	HGDP00356
Burusho	HGDP00359
Burusho	HGDP00364
Burusho	HGDP00371
Burusho	HGDP00372
Burusho	HGDP00376
Burusho	HGDP00382
Burusho	HGDP00388
Burusho	HGDP00392
Burusho	HGDP00397
Burusho	HGDP00402
Burusho	HGDP00407
Burusho	HGDP00412
Burusho	HGDP00417
Burusho	HGDP00423
Burusho	HGDP00428
Burusho	HGDP00433
Burusho	HGDP00438
Burusho	HGDP00444
Burusho	HGDP00445
MbutiPygmy	HGDP00449
MbutiPygmy	HGDP00450
BiakaPygmy	HGDP01087
BiakaPygmy	HGDP00454
BiakaPygmy	HGDP00455
MbutiPygmy	HGDP00456
BiakaPygmy	HGDP00457
BiakaPygmy	HGDP00458
BiakaPygmy	HGDP00459
BiakaPygmy	HGDP00460
BiakaPygmy	HGDP00461
MbutiPygmy	HGDP00462
MbutiPygmy	HGDP00463
BiakaPygmy	HGDP00464
BiakaPygmy	HGDP00465
BiakaPygmy	HGDP00466
MbutiPygmy	HGDP00467
BiakaPygmy	HGDP00469
BiakaPygmy	HGDP00470
MbutiPygmy	HGDP00471
BiakaPygmy	HGDP00472
BiakaPygmy	HGDP00473
MbutiPygmy	HGDP00474
BiakaPygmy	HGDP00475
MbutiPygmy	HGDP00476
MbutiPygmy	HGDP00478
BiakaPygmy	HGDP00479
Melanesian	HGDP00491
French	HGDP00511
French	HGDP00512
French	HGDP00513
French	HGDP00514
French	HGDP00515
French	HGDP00517
French	HGDP00518
French	HGDP00519
French	HGDP00520
French	HGDP00521
French	HGDP00522
French	HGDP00523
French	HGDP00524
French	HGDP00525
French	HGDP00526
French	HGDP00527
French	HGDP00529
French	HGDP00530
French	HGDP00531
French	HGDP00533
French	HGDP00534
French	HGDP00535
French	HGDP00536
French	HGDP00537
French	HGDP00538
French	HGDP00539
Papuan	HGDP00540
Papuan	HGDP00541
Papuan	HGDP00542
Papuan	HGDP00543
Papuan	HGDP00544
Papuan	HGDP00545
Papuan	HGDP00546
Papuan	HGDP00547
Papuan	HGDP00548
Papuan	HGDP00550
Papuan	HGDP00551
Papuan	HGDP00552
Papuan	HGDP00553
Papuan	HGDP00554
Papuan	HGDP00555
Papuan	HGDP00556
Druze	HGDP00557
Druze	HGDP00558
Druze	HGDP00559
Druze	HGDP00560
Druze	HGDP00561
Druze	HGDP00562
Druze	HGDP00563
Druze	HGDP00564
Druze	HGDP00565
Druze	HGDP00566
Druze	HGDP00567
Druze	HGDP00568
Druze	HGDP00569
Druze	HGDP00571
Druze	HGDP00572
Druze	HGDP00573
Druze	HGDP00574
Druze	HGDP00575
Druze	HGDP00576
Druze	HGDP00577
Druze	HGDP00578
Druze	HGDP00579
Druze	HGDP00580
Druze	HGDP00581
Druze	HGDP00582
Druze	HGDP00583
Druze	HGDP00584
Druze	HGDP00586
Druze	HGDP00587
Druze	HGDP00588
Druze	HGDP00590
Druze	HGDP00591
Druze	HGDP00594
Druze	HGDP00595
Druze	HGDP00597
Druze	HGDP00598
Druze	HGDP00599
Druze	HGDP00600
Druze	HGDP00601
Druze	HGDP00602
Druze	HGDP00604
Druze	HGDP00606
Bedouin	HGDP00607
Bedouin	HGDP00608
Bedouin	HGDP00609
Bedouin	HGDP00610
Bedouin	HGDP00611
Bedouin	HGDP00612
Bedouin	HGDP00613
Bedouin	HGDP00614
Bedouin	HGDP00615
Bedouin	HGDP00616
Bedouin	HGDP00618
Bedouin	HGDP00619
Bedouin	HGDP00620
Bedouin	HGDP00622
Bedouin	HGDP00623
Bedouin	HGDP00624
Bedouin	HGDP00625
Bedouin	HGDP00626
Bedouin	HGDP00627
Bedouin	HGDP00628
Bedouin	HGDP00629
Bedouin	HGDP00630
Bedouin	HGDP00631
Bedouin	HGDP00632
Bedouin	HGDP00634
Bedouin	HGDP00635
Bedouin	HGDP00636
Bedouin	HGDP00637
Bedouin	HGDP00638
Bedouin	HGDP00639
Bedouin	HGDP00640
Bedouin	HGDP00641
Bedouin	HGDP00642
Bedouin	HGDP00643
Bedouin	HGDP00644
Bedouin	HGDP00645
Bedouin	HGDP00646
Bedouin	HGDP00647
Bedouin	HGDP00648
Bedouin	HGDP00649
Bedouin	HGDP00650
Bedouin	HGDP00651
Bedouin	HGDP00653
Bedouin	HGDP00654
Melanesian	HGDP00655
Melanesian	HGDP00656
Melanesian	HGDP00979
Melanesian	HGDP00661
Melanesian	HGDP00662
Melanesian	HGDP00663
Melanesian	HGDP00664
Sardinian	HGDP00665
Sardinian	HGDP00666
Sardinian	HGDP00667
Sardinian	HGDP00668
Sardinian	HGDP00669
Sardinian	HGDP00670
Sardinian	HGDP00672
Sardinian	HGDP00673
Sardinian	HGDP00674
Palestinian	HGDP00675
Palestinian	HGDP00676
Palestinian	HGDP00677
Palestinian	HGDP00678
Palestinian	HGDP00679
Palestinian	HGDP00680
Palestinian	HGDP00682
Palestinian	HGDP00683
Palestinian	HGDP00684
Palestinian	HGDP00685
Palestinian	HGDP00686
Palestinian	HGDP00687
Palestinian	HGDP00688
Palestinian	HGDP00689
Palestinian	HGDP00690
Palestinian	HGDP00691
Palestinian	HGDP00692
Palestinian	HGDP00693
Palestinian	HGDP00694
Palestinian	HGDP00696
Palestinian	HGDP00697
Palestinian	HGDP00698
Palestinian	HGDP00699
Palestinian	HGDP00700
Bedouin	HGDP00701
Colombian	HGDP00702
Colombian	HGDP00703
Colombian	HGDP00704
Colombian	HGDP00706
Colombian	HGDP00708
Colombian	HGDP00710
Cambodian	HGDP00711
Cambodian	HGDP00712
Cambodian	HGDP00713
Cambodian	HGDP00714
Cambodian	HGDP00715
Cambodian	HGDP00716
Cambodian	HGDP00717
Cambodian	HGDP00720
Cambodian	HGDP00721
Palestinian	HGDP00722
Palestinian	HGDP00723
Palestinian	HGDP00724
Palestinian	HGDP00725
Palestinian	HGDP00726
Palestinian	HGDP00727
Palestinian	HGDP00729
Palestinian	HGDP00730
Palestinian	HGDP00731
Palestinian	HGDP00732
Palestinian	HGDP00733
Palestinian	HGDP00734
Palestinian	HGDP00735
Palestinian	HGDP00736
Palestinian	HGDP00737
Palestinian	HGDP00738
Palestinian	HGDP00739
Palestinian	HGDP00740
Palestinian	HGDP00741
Palestinian	HGDP00744
Palestinian	HGDP00745
Palestinian	HGDP00746
Japanese	HGDP00747
Japanese	HGDP00748
Japanese	HGDP00749
Japanese	HGDP00750
Japanese	HGDP00751
Japanese	HGDP00752
Japanese	HGDP00753
Japanese	HGDP00755
Japanese	HGDP00756
Japanese	HGDP00757
Japanese	HGDP00758
Japanese	HGDP00759
Japanese	HGDP00760
Japanese	HGDP00761
Japanese	HGDP00762
Japanese	HGDP00763
Japanese	HGDP00764
Japanese	HGDP00765
Japanese	HGDP00767
Japanese	HGDP00768
Japanese	HGDP00769
Japanese	HGDP00771
Japanese	HGDP00772
Japanese	HGDP00773
Han	HGDP00774
Han	HGDP00775
Han	HGDP00776
Han	HGDP00777
Han	HGDP00778
Han	HGDP00779
Han	HGDP00780
Han	HGDP00781
Han	HGDP00782
Han	HGDP00783
Han	HGDP00784
Han	HGDP00785
Han	HGDP00786
Melanesian	HGDP00787
Melanesian	HGDP00788
Japanese	HGDP00790
Japanese	HGDP00791
Orcadian	HGDP00794
Orcadian	HGDP00795
Orcadian	HGDP00796
Orcadian	HGDP00797
Orcadian	HGDP00799
Orcadian	HGDP00800
Orcadian	HGDP00802
Orcadian	HGDP00803
Orcadian	HGDP00804
Orcadian	HGDP00805
Orcadian	HGDP00806
Orcadian	HGDP00807
Orcadian	HGDP00808
Orcadian	HGDP00810
Han	HGDP00811
Han	HGDP00812
Han	HGDP00813
Han	HGDP00814
Han	HGDP00815
Han	HGDP00817
Han	HGDP00818
Han	HGDP00819
Han	HGDP00820
Han	HGDP00821
Han	HGDP00822
Surui	HGDP00832
Surui	HGDP00837
Surui	HGDP00838
Surui	HGDP00843
Surui	HGDP00845
Surui	HGDP00846
Surui	HGDP00849
Surui	HGDP00852
Maya	HGDP00854
Maya	HGDP00855
Maya	HGDP00856
Maya	HGDP00857
Maya	HGDP00858
Maya	HGDP00859
Maya	HGDP00860
Maya	HGDP00861
Maya	HGDP00862
Maya	HGDP00863
Maya	HGDP00864
Maya	HGDP00865
Maya	HGDP00868
Maya	HGDP00869
Maya	HGDP00870
Maya	HGDP00871
Maya	HGDP00872
Maya	HGDP00873
Maya	HGDP00875
Maya	HGDP00876
Maya	HGDP00877
Russian	HGDP00879
Russian	HGDP00880
Russian	HGDP00881
Russian	HGDP00882
Russian	HGDP00883
Russian	HGDP00884
Russian	HGDP00885
Russian	HGDP00886
Russian	HGDP00887
Russian	HGDP00888
Russian	HGDP00889
Russian	HGDP00890
Russian	HGDP00891
Russian	HGDP00892
Russian	HGDP00893
Russian	HGDP00894
Russian	HGDP00895
Russian	HGDP00896
Russian	HGDP00897
Russian	HGDP00898
Russian	HGDP00899
Russian	HGDP00900
Russian	HGDP00901
Russian	HGDP00902
Russian	HGDP00903
Mandenka	HGDP00904
Mandenka	HGDP00905
Mandenka	HGDP00906
Mandenka	HGDP00907
Mandenka	HGDP00908
Mandenka	HGDP00909
Mandenka	HGDP00910
Mandenka	HGDP00911
Mandenka	HGDP00912
Mandenka	HGDP00913
Mandenka	HGDP00914
Mandenka	HGDP00915
Mandenka	HGDP00917
Mandenka	HGDP00918
Yoruba	HGDP00920
Yoruba	HGDP00924
Yoruba	HGDP00925
Yoruba	HGDP00926
Yoruba	HGDP00927
Yoruba	HGDP00928
Yoruba	HGDP00929
